date,pole,quantity
2025-01-01,GLOBAL,2
2025-01-01,PICKING,1
2025-01-01,PROMO,1
2025-01-02,BULK,4
2025-01-02,BULK,27
2025-01-02,BULK,240
2025-01-02,BULK,49
2025-01-02,BULK,66
2025-01-02,GLOBAL,20722
2025-01-02,PICKING,372
2025-01-02,PICKING,3105
2025-01-02,PICKING,7129
2025-01-02,PICKING,540
2025-01-02,PICKING,3809
2025-01-02,PROMO,15
2025-01-02,PROMO,3093
2025-01-02,PROMO,1626
2025-01-02,PROMO,468
2025-01-02,PROMO,179
2025-01-03,BULK,3
2025-01-03,BULK,4
2025-01-03,BULK,2
2025-01-03,BULK,294
2025-01-03,BULK,208
2025-01-03,BULK,23
2025-01-03,BULK,6
2025-01-03,BULK,4
2025-01-03,BULK,22
2025-01-03,BULK,20
2025-01-03,BULK,89
2025-01-03,BULK,2
2025-01-03,GLOBAL,8772
2025-01-03,PICKING,2
2025-01-03,PICKING,412
2025-01-03,PICKING,52
2025-01-03,PICKING,4138
2025-01-03,PICKING,69
2025-01-03,PICKING,85
2025-01-03,PICKING,2
2025-01-03,PICKING,278
2025-01-03,PICKING,1606
2025-01-03,PICKING,173
2025-01-03,PICKING,24
2025-01-03,PICKING,2
2025-01-03,PICKING,43
2025-01-03,PICKING,1
2025-01-03,PROMO,1
2025-01-03,PROMO,16
2025-01-03,PROMO,14
2025-01-03,PROMO,336
2025-01-03,PROMO,25
2025-01-03,PROMO,77
2025-01-03,PROMO,3
2025-01-03,PROMO,225
2025-01-03,PROMO,1
2025-01-03,PROMO,280
2025-01-03,PROMO,139
2025-01-03,PROMO,61
2025-01-03,PROMO,12
2025-01-03,PROMO,18
2025-01-06,BULK,23
2025-01-06,BULK,27
2025-01-06,BULK,178
2025-01-06,BULK,4
2025-01-06,BULK,1
2025-01-06,GLOBAL,11207
2025-01-06,PICKING,2875
2025-01-06,PICKING,1859
2025-01-06,PICKING,2724
2025-01-06,PICKING,35
2025-01-06,PICKING,7
2025-01-06,PROMO,478
2025-01-06,PROMO,285
2025-01-06,PROMO,2606
2025-01-06,PROMO,104
2025-01-06,PROMO,1
2025-01-07,BULK,23
2025-01-07,BULK,3
2025-01-07,BULK,42
2025-01-07,BULK,5
2025-01-07,BULK,32
2025-01-07,BULK,134
2025-01-07,BULK,15
2025-01-07,BULK,137
2025-01-07,BULK,48
2025-01-07,BULK,73
2025-01-07,BULK,2
2025-01-07,GLOBAL,16826
2025-01-07,PICKING,873
2025-01-07,PICKING,1
2025-01-07,PICKING,97
2025-01-07,PICKING,120
2025-01-07,PICKING,218
2025-01-07,PICKING,2330
2025-01-07,PICKING,4019
2025-01-07,PICKING,102
2025-01-07,PICKING,758
2025-01-07,PICKING,2248
2025-01-07,PICKING,190
2025-01-07,PICKING,250
2025-01-07,PROMO,207
2025-01-07,PROMO,40
2025-01-07,PROMO,47
2025-01-07,PROMO,11
2025-01-07,PROMO,2304
2025-01-07,PROMO,1098
2025-01-07,PROMO,192
2025-01-07,PROMO,724
2025-01-07,PROMO,236
2025-01-07,PROMO,247
2025-01-08,BULK,9
2025-01-08,BULK,30
2025-01-08,BULK,138
2025-01-08,BULK,4
2025-01-08,BULK,51
2025-01-08,BULK,4
2025-01-08,BULK,2
2025-01-08,GLOBAL,12499
2025-01-08,PICKING,23
2025-01-08,PICKING,4184
2025-01-08,PICKING,2324
2025-01-08,PICKING,13
2025-01-08,PICKING,101
2025-01-08,PICKING,901
2025-01-08,PROMO,4
2025-01-08,PROMO,3570
2025-01-08,PROMO,678
2025-01-08,PROMO,45
2025-01-08,PROMO,27
2025-01-08,PROMO,2
2025-01-08,PROMO,389
2025-01-09,BULK,4
2025-01-09,BULK,2
2025-01-09,BULK,27
2025-01-09,BULK,157
2025-01-09,BULK,2
2025-01-09,BULK,118
2025-01-09,BULK,167
2025-01-09,BULK,13
2025-01-09,BULK,25
2025-01-09,BULK,11
2025-01-09,GLOBAL,8753
2025-01-09,PICKING,156
2025-01-09,PICKING,240
2025-01-09,PICKING,365
2025-01-09,PICKING,912
2025-01-09,PICKING,1450
2025-01-09,PICKING,113
2025-01-09,PICKING,818
2025-01-09,PICKING,47
2025-01-09,PICKING,1673
2025-01-09,PICKING,48
2025-01-09,PROMO,77
2025-01-09,PROMO,108
2025-01-09,PROMO,101
2025-01-09,PROMO,305
2025-01-09,PROMO,565
2025-01-09,PROMO,4
2025-01-09,PROMO,291
2025-01-09,PROMO,613
2025-01-09,PROMO,83
2025-01-09,PROMO,216
2025-01-09,PROMO,42
2025-01-10,BULK,69
2025-01-10,BULK,3
2025-01-10,BULK,2
2025-01-10,BULK,1
2025-01-10,BULK,121
2025-01-10,BULK,252
2025-01-10,BULK,2
2025-01-10,BULK,96
2025-01-10,BULK,11
2025-01-10,BULK,65
2025-01-10,BULK,28
2025-01-10,BULK,60
2025-01-10,BULK,1
2025-01-10,GLOBAL,10550
2025-01-10,PICKING,3
2025-01-10,PICKING,7
2025-01-10,PICKING,4
2025-01-10,PICKING,112
2025-01-10,PICKING,15
2025-01-10,PICKING,43
2025-01-10,PICKING,4562
2025-01-10,PICKING,118
2025-01-10,PICKING,1
2025-01-10,PICKING,1227
2025-01-10,PICKING,90
2025-01-10,PICKING,196
2025-01-10,PICKING,789
2025-01-10,PICKING,10
2025-01-10,PICKING,2
2025-01-10,PROMO,38
2025-01-10,PROMO,5
2025-01-10,PROMO,1
2025-01-10,PROMO,39
2025-01-10,PROMO,3
2025-01-10,PROMO,25
2025-01-10,PROMO,694
2025-01-10,PROMO,42
2025-01-10,PROMO,1371
2025-01-10,PROMO,92
2025-01-10,PROMO,182
2025-01-10,PROMO,118
2025-01-10,PROMO,35
2025-01-10,PROMO,15
2025-01-13,BULK,44
2025-01-13,BULK,14
2025-01-13,BULK,20
2025-01-13,BULK,131
2025-01-13,BULK,83
2025-01-13,BULK,7
2025-01-13,GLOBAL,6693
2025-01-13,PICKING,1322
2025-01-13,PICKING,336
2025-01-13,PICKING,122
2025-01-13,PICKING,474
2025-01-13,PICKING,291
2025-01-13,PICKING,1047
2025-01-13,PROMO,1440
2025-01-13,PROMO,115
2025-01-13,PROMO,178
2025-01-13,PROMO,393
2025-01-13,PROMO,310
2025-01-13,PROMO,366
2025-01-14,BULK,19
2025-01-14,BULK,2
2025-01-14,BULK,43
2025-01-14,BULK,2
2025-01-14,BULK,8
2025-01-14,BULK,188
2025-01-14,BULK,18
2025-01-14,BULK,43
2025-01-14,BULK,74
2025-01-14,BULK,145
2025-01-14,BULK,15
2025-01-14,BULK,12
2025-01-14,BULK,5
2025-01-14,GLOBAL,26101
2025-01-14,PICKING,1468
2025-01-14,PICKING,14
2025-01-14,PICKING,74
2025-01-14,PICKING,298
2025-01-14,PICKING,4676
2025-01-14,PICKING,6319
2025-01-14,PICKING,71
2025-01-14,PICKING,2012
2025-01-14,PICKING,548
2025-01-14,PICKING,2200
2025-01-14,PICKING,5
2025-01-14,PICKING,194
2025-01-14,PROMO,324
2025-01-14,PROMO,14
2025-01-14,PROMO,24
2025-01-14,PROMO,8
2025-01-14,PROMO,3145
2025-01-14,PROMO,1297
2025-01-14,PROMO,157
2025-01-14,PROMO,1669
2025-01-14,PROMO,383
2025-01-14,PROMO,572
2025-01-14,PROMO,46
2025-01-14,PROMO,9
2025-01-15,BULK,16
2025-01-15,BULK,24
2025-01-15,BULK,82
2025-01-15,BULK,1
2025-01-15,BULK,28
2025-01-15,BULK,4
2025-01-15,BULK,1
2025-01-15,GLOBAL,10207
2025-01-15,PICKING,10
2025-01-15,PICKING,3626
2025-01-15,PICKING,2005
2025-01-15,PICKING,5
2025-01-15,PICKING,65
2025-01-15,PICKING,410
2025-01-15,PICKING,3
2025-01-15,PROMO,6
2025-01-15,PROMO,3088
2025-01-15,PROMO,506
2025-01-15,PROMO,36
2025-01-15,PROMO,27
2025-01-15,PROMO,264
2025-01-16,BULK,5
2025-01-16,BULK,8
2025-01-16,BULK,31
2025-01-16,BULK,69
2025-01-16,BULK,109
2025-01-16,BULK,19
2025-01-16,BULK,70
2025-01-16,BULK,3
2025-01-16,GLOBAL,7705
2025-01-16,PICKING,131
2025-01-16,PICKING,1
2025-01-16,PICKING,190
2025-01-16,PICKING,1024
2025-01-16,PICKING,1873
2025-01-16,PICKING,521
2025-01-16,PICKING,182
2025-01-16,PICKING,1686
2025-01-16,PICKING,1
2025-01-16,PROMO,40
2025-01-16,PROMO,15
2025-01-16,PROMO,58
2025-01-16,PROMO,565
2025-01-16,PROMO,474
2025-01-16,PROMO,316
2025-01-16,PROMO,205
2025-01-16,PROMO,109
2025-01-17,BULK,94
2025-01-17,BULK,3
2025-01-17,BULK,3
2025-01-17,BULK,3
