date,pole,quantity
2025-01-02,BULK,2
2025-01-02,BULK,17
2025-01-02,BULK,74
2025-01-02,BULK,7
2025-01-02,BULK,50
2025-01-02,BULK,56
2025-01-02,BULK,74
2025-01-02,BULK,1
2025-01-02,BULK,2
2025-01-02,BULK,17
2025-01-02,BULK,1
2025-01-02,BULK,9
2025-01-02,BULK,30
2025-01-02,BULK,111
2025-01-02,BULK,47
2025-01-02,GLOBAL,30596
2025-01-02,PICKING,5
2025-01-02,PICKING,5
2025-01-02,PICKING,80
2025-01-02,PICKING,92
2025-01-02,PICKING,17
2025-01-02,PICKING,3317
2025-01-02,PICKING,6445
2025-01-02,PICKING,4757
2025-01-02,PICKING,58
2025-01-02,PICKING,1
2025-01-02,PICKING,170
2025-01-02,PICKING,5
2025-01-02,PICKING,58
2025-01-02,PICKING,1641
2025-01-02,PICKING,106
2025-01-02,PROMO,4
2025-01-02,PROMO,4
2025-01-02,PROMO,743
2025-01-02,PROMO,52
2025-01-02,PROMO,37
2025-01-02,PROMO,3287
2025-01-02,PROMO,1319
2025-01-02,PROMO,4204
2025-01-02,PROMO,62
2025-01-02,PROMO,16
2025-01-02,PROMO,17
2025-01-02,PROMO,10
2025-01-02,PROMO,9
2025-01-02,PROMO,194
2025-01-02,PROMO,3270
2025-01-02,PROMO,113
2025-01-03,BULK,7
2025-01-03,BULK,41
2025-01-03,BULK,48
2025-01-03,BULK,119
2025-01-03,BULK,1
2025-01-03,GLOBAL,9235
2025-01-03,PICKING,8
2025-01-03,PICKING,479
2025-01-03,PICKING,904
2025-01-03,PICKING,3028
2025-01-03,PICKING,2
2025-01-03,PICKING,1
2025-01-03,PROMO,2
2025-01-03,PROMO,353
2025-01-03,PROMO,743
2025-01-03,PROMO,3493
2025-01-03,PROMO,2
2025-01-03,PROMO,3
2025-01-03,PROMO,1
2025-01-06,BULK,7
2025-01-06,BULK,13
2025-01-06,BULK,9
2025-01-06,BULK,9
2025-01-06,BULK,188
2025-01-06,BULK,107
2025-01-06,BULK,22
2025-01-06,BULK,1
2025-01-06,BULK,259
2025-01-06,BULK,94
2025-01-06,BULK,4
2025-01-06,BULK,41
2025-01-06,BULK,336
2025-01-06,BULK,35
2025-01-06,BULK,3
2025-01-06,BULK,5
2025-01-06,BULK,3
2025-01-06,GLOBAL,21604
2025-01-06,PICKING,325
2025-01-06,PICKING,10
2025-01-06,PICKING,95
2025-01-06,PICKING,29
2025-01-06,PICKING,219
2025-01-06,PICKING,522
2025-01-06,PICKING,1099
2025-01-06,PICKING,1291
2025-01-06,PICKING,10
2025-01-06,PICKING,104
2025-01-06,PICKING,3871
2025-01-06,PICKING,7
2025-01-06,PICKING,5
2025-01-06,PICKING,42
2025-01-06,PICKING,320
2025-01-06,PICKING,73
2025-01-06,PICKING,34
2025-01-06,PICKING,206
2025-01-06,PICKING,408
2025-01-06,PICKING,619
2025-01-06,PICKING,38
2025-01-06,PICKING,229
2025-01-06,PICKING,71
2025-01-06,PROMO,243
2025-01-06,PROMO,5
2025-01-06,PROMO,486
2025-01-06,PROMO,11
2025-01-06,PROMO,211
2025-01-06,PROMO,465
2025-01-06,PROMO,1111
2025-01-06,PROMO,2112
2025-01-06,PROMO,21
2025-01-06,PROMO,4
2025-01-06,PROMO,115
2025-01-06,PROMO,3033
2025-01-06,PROMO,5
2025-01-06,PROMO,32
2025-01-06,PROMO,48
2025-01-06,PROMO,451
2025-01-06,PROMO,139
2025-01-06,PROMO,6
2025-01-06,PROMO,122
2025-01-06,PROMO,76
2025-01-06,PROMO,458
2025-01-06,PROMO,1411
2025-01-06,PROMO,85
2025-01-06,PROMO,156
2025-01-06,PROMO,35
2025-01-07,BULK,21
2025-01-07,BULK,99
2025-01-07,BULK,28
2025-01-07,BULK,64
2025-01-07,BULK,117
2025-01-07,BULK,58
2025-01-07,BULK,1
2025-01-07,BULK,2
2025-01-07,BULK,4
2025-01-07,BULK,2
2025-01-07,GLOBAL,20527
2025-01-07,PICKING,5
2025-01-07,PICKING,33
2025-01-07,PICKING,8331
2025-01-07,PICKING,3077
2025-01-07,PICKING,1929
2025-01-07,PICKING,66
2025-01-07,PICKING,5
2025-01-07,PICKING,128
2025-01-07,PICKING,104
2025-01-07,PROMO,7
2025-01-07,PROMO,17
2025-01-07,PROMO,2679
2025-01-07,PROMO,952
2025-01-07,PROMO,2160
2025-01-07,PROMO,76
2025-01-07,PROMO,31
2025-01-07,PROMO,232
2025-01-07,PROMO,295
2025-01-07,PROMO,4
2025-01-08,BULK,4
2025-01-08,BULK,214
2025-01-08,BULK,20
2025-01-08,BULK,32
2025-01-08,BULK,324
2025-01-08,BULK,45
2025-01-08,BULK,196
2025-01-08,BULK,113
2025-01-08,BULK,10
2025-01-08,BULK,3
2025-01-08,GLOBAL,14859
2025-01-08,PICKING,4
2025-01-08,PICKING,3
2025-01-08,PICKING,12
2025-01-08,PICKING,1462
2025-01-08,PICKING,118
2025-01-08,PICKING,4440
2025-01-08,PICKING,66
2025-01-08,PICKING,16
2025-01-08,PICKING,287
2025-01-08,PICKING,153
2025-01-08,PICKING,1
2025-01-08,PROMO,3
2025-01-08,PROMO,2
2025-01-08,PROMO,9
2025-01-08,PROMO,2402
2025-01-08,PROMO,50
2025-01-08,PROMO,4334
2025-01-08,PROMO,233
2025-01-08,PROMO,1
2025-01-08,PROMO,4
2025-01-08,PROMO,3
2025-01-08,PROMO,255
2025-01-08,PROMO,39
2025-01-08,PROMO,1
2025-01-09,BULK,4
2025-01-09,BULK,1
2025-01-09,BULK,33
2025-01-09,BULK,53
2025-01-09,BULK,106
2025-01-09,BULK,18
2025-01-09,BULK,151
2025-01-09,BULK,275
2025-01-09,BULK,46
2025-01-09,BULK,1
2025-01-09,BULK,2
2025-01-09,BULK,3
2025-01-09,BULK,11
2025-01-09,BULK,33
2025-01-09,BULK,68
2025-01-09,BULK,5
2025-01-09,BULK,21
2025-01-09,BULK,6
2025-01-09,BULK,44
2025-01-09,BULK,30
2025-01-09,BULK,11
2025-01-09,GLOBAL,13045
2025-01-09,PICKING,1
2025-01-09,PICKING,116
2025-01-09,PICKING,39
2025-01-09,PICKING,596
2025-01-09,PICKING,389
2025-01-09,PICKING,181
2025-01-09,PICKING,1733
2025-01-09,PICKING,452
2025-01-09,PICKING,1
2025-01-09,PICKING,65
2025-01-09,PICKING,2
2025-01-09,PICKING,63
2025-01-09,PICKING,13
2025-01-09,PICKING,5
2025-01-09,PICKING,265
2025-01-09,PICKING,3
2025-01-09,PICKING,10
2025-01-09,PICKING,137
2025-01-09,PICKING,890
2025-01-09,PICKING,249
2025-01-09,PROMO,11
2025-01-09,PROMO,77
2025-01-09,PROMO,355
